= Germany | DFB Pokal 1996/97



First Round:                    [9-11 Aug 1996]

Werder Bremen-Bayer Leverkusen              1:1 (5:3 p)
KFC Uerdingen 05-SC Freiburg                0:2
SSV Ulm 46-FC Schalke 04                    0:2
SC Wattenscheid 09-Borussia Dortmund        4:3
1.FC Nürnberg-FSV Mainz 05                  1:0
Karlsruher SC Amateure-FC Carl Zeiss Jena   2:0
Hamburger SV Amateure-Arminia Bielefeld     1:3
FC Schweinfurt 05-Hansa Rostock             2:5
Energie Cottbus-Stuttgarter Kickers         1:0
SV Bonlanden-VfL Bochum                     2:4
Rot-WeiB Oberhausen-FC St.Pauli             1:4
Tennis Borussia Berlin-Bayern München       0:3
FSV Salmrohr-VfB Oldenburg                  1:3
Holstein Kiel-Eintracht Frankfurt           2:4
TuS Paderborn Neuhaus-Hamburger SV          1:3
FV Donaueschingen-1.FC Köln                 1:3
Hannover 96-FC Gütersloh                    1:0
FSV Lok Altmark Stendal-Hertha BSC Berlin   1:5
Greifswalder SC-SpVgg Unterhaching          0:3
Borussia Neunkirchen-VfB Leipzig            1:1 (5:4 p)
Bayer Leverkusen Amateure-MSV Duiburg       1:3
TSG Pfeddersheim-FSV Zwickau                1:2
SpVgg Greuther Fürth-1.FC Kaiserslautern    1:0
Kickers Emden-Fortuna Düsseldorf            1:3
SV Wehen-VfB Lübeck                         1:2
Chemnitzer FC-SV Waldhof Mannheim           0:1
VfB Leipzig Amateure-VfL Wolfsburg          0:4
SSV Vorsfelde-SV Meppen                     0:2
FC Bremerhaven-Karlsruher SC                2:3
Wacker Nordhausen-TSV München 1860          1:5
VfR Mannheim-Borussia Mönchengladbach       0:2
VfB Stuttgart-Fortuna Köln                  0:0 (4:1 p)

Second Round:               [30 Aug-1 Sep 1996]

Fortuna Düsseldorf-Hamburger SV             1:4
Karlsruher SC-Hansa Rostock                 2:0
FC Schalke 04-VfL Bochum                    2:3
Borussia Mönchengladbach-Bayern München     1:2
SV Waldhof Mannheim-SC Freiburg             0:1
MSV Duisburg-VfB Lübeck                     1:0
FSV Zwickau-1.FC Köln                       3:1
Arminia Bielefeld-SpVgg Unterhaching        0:1
Hertha BSC Berlin-VfB Stuttgart             1:1 (4:5 p)
VfB Oldenburg-Werder Bremen                 1:2
Borussia Neunkirchen-FC St.Pauli            1:3
Hannover 96-TSV München 1860                2:4
SV Meppen-Eintracht Frankfurt               6:1
Energie Cottbus-VfL Wolfsburg               1:0
Wattenscheid 09-Karlsruher SC Amateure      0:0 (2:4 p)
SpVgg Greuther Fürth-1.FC Nürnberg          2:1

Eightfinals:                   [22-23 Oct 1996]

TSV München 1860-Hamburger SV               1:2
Bayern München-Werder Bremen                3:1
VfB Stuttgart-FSV Zwickau                   2:0
FC St.Pauli-SpVgg Unterhaching              1:0
SC Freiburg-SV Meppen                       2:1
Energie Cottbus-MSV Duisburg                2:2 (5:4 p)
SpVgg Greuther Fürth-Karlsruher SC          1:3
Karlsruher SC Amateure-VfL Bochum           0:1

Quarterfinals:                 [12-13 Nov 1996]

Energie Cottbus-FC St.Pauli                 0:0 (5:4 p)
Hamburger SV-VfL Bochum                     2:1
SC Freiburg-VfB Stuttgart                   1:1 (2:4 p)
Karlsruher SC-Bayern München                1:0

Semifinals:                    [15-16 Apr 1997]

VfB Stuttgart-Hamburger SV                  2:1
Energie Cottbus-Karlsruher SC               3:0

Final:                    [14 Jun 1997, Berlin]

VfB Stuttgart-Energie Cottbus               2:0


